,LATITUDE,LONGITUDE
0,37.76962788,-122.17594163
1,37.7912208,-122.2436748
2,37.79969924,-122.24828411
3,37.81181288,-122.30305025
4,37.80725502,-122.24162372
5,37.83018252,-122.19900274
6,37.81772275,-122.24788798
7,37.79114189,-122.15186095
8,37.80859858,-122.28883275
9,37.82484582,-122.28934379
10,37.77554471,-122.2231282
11,37.83966927,-122.21968332
12,37.82639558,-122.26519403
13,37.82240215,-122.28538058
14,37.83718089,-122.26215203
15,37.79868353,-122.28319019
16,37.79557778,-122.27511946
17,37.84628704,-122.23921356
18,37.78267569,-122.21991062
19,37.80235212,-122.28290442
20,37.80858699,-122.26703061
21,37.80632091,-122.26705014
22,37.75389462,-122.11863291
23,37.80579081,-122.29704279
24,37.80960694,-122.27832506
25,37.83781135,-122.27027636
26,37.80930502,-122.28848278
27,37.8383631,-122.27706072
28,37.81432222,-122.29985929
29,37.83716509,-122.27599299
30,37.81435954,-122.2473154
31,37.84251168,-122.27198676
32,37.76283585,-122.18117321
33,37.81323364,-122.25792521
34,37.8021479,-122.24736703
35,37.809441,-122.27893742
36,37.80121197,-122.24347242
37,37.74549921,-122.18167515
38,37.80752525,-122.22221133
39,37.83098601,-122.24468353
40,37.84058797,-122.25003307
41,37.78784334,-122.21230606
42,37.81627292,-122.28979304
43,37.8256088,-122.28295585
44,37.81819702,-122.25048797
45,37.78455722,-122.2243411
46,37.81017998,-122.24599712
47,37.81023725,-122.24660169
48,37.83756754,-122.27225641
49,37.79788941,-122.23791968
50,37.82184784,-122.25288891
51,37.78133957,-122.20023846
52,37.78133957,-122.20023846
53,37.84439437,-122.25995538
54,37.80301689,-122.27639792
55,37.85017857,-122.26051349
56,37.831604,-122.24542889
57,37.76043709,-122.18540991
58,37.77125552,-122.1829476
59,37.81741251,-122.27990947
60,37.81106593,-122.2692808
61,37.78842603,-122.20949544
62,37.82051137,-122.27648444
63,37.77675126,-122.1955726
64,37.78291043,-122.22932838
65,37.76977741,-122.17660456
66,37.74677488,-122.13793984
67,37.74873913,-122.13664244
68,37.74879359,-122.13236554
69,37.74944451,-122.13225859
70,37.74907628,-122.12991674
71,37.75572073,-122.12197284
72,37.74590532,-122.14483115
73,37.74617151,-122.14121791
74,37.80261037,-122.17839427
75,37.79508731,-122.24556681
76,37.77093145,-122.14062087
77,37.79091782,-122.23115315
78,37.84905625,-122.24720764
79,37.8273087,-122.275001
80,37.78844102,-122.17677427
81,37.73034287,-122.19250488
82,37.82351101,-122.255775
83,37.83428996,-122.25586658
84,37.79061006,-122.21773014
85,37.843615,-122.2641852
86,37.78017881,-122.23645071
87,37.79188785,-122.21478224
88,37.77463501,-122.213558
89,37.84503231,-122.24443363
90,37.83336489,-122.2562677
91,37.74957072,-122.15872039
92,37.83395148,-122.25385713
93,37.80135,-122.27899001
94,37.8452137,-122.2408926
95,37.75987518,-122.1680666
96,37.7628115,-122.17642195
97,37.79734443,-122.21859379
98,37.81284703,-122.27019926
99,37.84745368,-122.25974203
100,37.84745368,-122.25974203
101,37.79100426,-122.17980346
102,37.75500538,-122.19382
103,37.83622361,-122.27469633
104,37.76470257,-122.19052384
105,37.8416195,-122.21071717
106,37.81181784,-122.30306346
107,37.77836608,-122.2283249
108,37.78676309,-122.21735333
109,37.7762359,-122.22161043
110,37.82255947,-122.20155901
111,37.80304816,-122.17997923
112,37.82314621,-122.27805986
113,37.81003832,-122.25372894
114,37.76223042,-122.17910027
115,37.82045932,-122.18760266
116,37.78577257,-122.14609152
117,37.79926121,-122.269357
118,37.8099823,-122.28840638
119,37.76738422,-122.18904372
120,37.79624068,-122.18051505
121,37.76711169,-122.19792017
122,37.82710913,-122.19676625
123,37.8272133,-122.19703673
124,37.8082085,-122.30241708
125,37.79974074,-122.2739738
126,37.79060494,-122.22622338
127,37.79073481,-122.22611235
128,37.79571616,-122.27121787
129,37.8184684,-122.27511793
130,37.8132729,-122.29788374
131,37.82900153,-122.25913071
132,37.84374059,-122.28543341
133,37.80639491,-122.29397989
134,37.78679169,-122.22471102
135,37.77442615,-122.18969244
